USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root        85  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/20]
root        86  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/20:0]
root        87  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/20]
root        88  0.0  0.0      0     0 ?        S    Sep28   0:25 [watchdog/20]
root        89  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/21]
root        90  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/21:0]
root        91  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/21]
root        92  0.0  0.0      0     0 ?        S    Sep28   0:23 [watchdog/21]
root        93  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/22]
root        94  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/22:0]
root        95  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/22]
root        96  0.0  0.0      0     0 ?        S    Sep28   0:22 [watchdog/22]
root        97  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/23]
root        98  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/23:0]
root        99  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/23]
root       100  0.0  0.0      0     0 ?        S    Sep28   0:33 [watchdog/23]
root       101  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/24]
root       102  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/24:0]
root       103  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/24]
root       104  0.0  0.0      0     0 ?        S    Sep28   0:43 [watchdog/24]
root       105  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/25]
root       106  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/25:0]
root       107  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/25]
root       108  0.0  0.0      0     0 ?        S    Sep28   0:46 [watchdog/25]
root       109  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/26]
root       110  0.0  0.0      0     0 ?        S    Sep28   0:53 [kworker/26:0]
root       111  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/26]
root       112  0.0  0.0      0     0 ?        S    Sep28   0:51 [watchdog/26]
root       113  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/27]
root       115  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/27]
root       116  0.0  0.0      0     0 ?        S    Sep28   0:42 [watchdog/27]
root       117  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/28]
root       118  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/28:0]
root       119  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/28]
root       120  0.0  0.0      0     0 ?        S    Sep28   0:25 [watchdog/28]
root       121  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/29]
root       122  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/29:0]
root       123  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/29]
root       124  0.0  0.0      0     0 ?        S    Sep28   0:26 [watchdog/29]
root       125  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/30]
root       126  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/30:0]
root       127  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/30]
root       128  0.0  0.0      0     0 ?        S    Sep28   0:31 [watchdog/30]
root       129  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/31]
root       130  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/31:0]
root       131  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/31]
root       132  0.0  0.0      0     0 ?        S    Sep28   0:28 [watchdog/31]
root       133  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/32]
root       134  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/32:0]
root       135  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/32]
root       136  0.0  0.0      0     0 ?        S    Sep28   0:27 [watchdog/32]
root       137  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/33]
root       138  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/33:0]
root       139  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/33]
root       140  0.0  0.0      0     0 ?        S    Sep28   0:22 [watchdog/33]
root       141  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/34]
root       142  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/34:0]
root       143  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/34]
root       144  0.0  0.0      0     0 ?        S    Sep28   0:31 [watchdog/34]
root       145  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/35]
root       146  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/35:0]
root       147  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/35]
root       148  0.0  0.0      0     0 ?        S    Sep28   0:24 [watchdog/35]
root       149  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/36]
root       150  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/36:0]
root       151  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/36]
root       152  0.0  0.0      0     0 ?        S    Sep28   0:23 [watchdog/36]
root       153  1.2  0.0      0     0 ?        S    Sep28  13:19 [migration/37]
root       154  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/37:0]
root       155  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/37]
root       156  0.0  0.0      0     0 ?        S    Sep28   0:20 [watchdog/37]
root       157  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/38]
root       158  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/38:0]
root       159  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/38]
root       160  0.0  0.0      0     0 ?        S    Sep28   0:26 [watchdog/38]
root       161  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/39]
root       162  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/39:0]
root       163  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/39]
root       164  0.0  0.0      0     0 ?        S    Sep28   0:24 [watchdog/39]
root       165  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/40]
root       166  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/40:0]
root       167  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/40]
root       168  0.0  0.0      0     0 ?        S    Sep28   0:25 [watchdog/40]
root       169  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/41]
root       170  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/41:0]
root       171  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/41]
root       172  0.0  0.0      0     0 ?        S    Sep28   0:20 [watchdog/41]
root       173  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/42]
root       175  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/42]
root       176  0.0  0.0      0     0 ?        S    Sep28   0:20 [watchdog/42]
root       177  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/43]
root       178  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/43:0]
root       179  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/43]
root       180  0.0  0.0      0     0 ?        S    Sep28   0:27 [watchdog/43]
root       181  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/44]
root       182  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/44:0]
root       183  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/44]
root       184  0.0  0.0      0     0 ?        S    Sep28   0:22 [watchdog/44]
root       185  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/45]
root       186  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/45:0]
root       187  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/45]
root       188  0.0  0.0      0     0 ?        S    Sep28   0:21 [watchdog/45]
root       189  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/46]
root       190  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/46:0]
root       191  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/46]
root       192  0.0  0.0      0     0 ?        S    Sep28   0:18 [watchdog/46]
root       193  0.0  0.0      0     0 ?        S    Sep28   0:00 [migration/47]
root       194  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/47:0]
root       195  0.0  0.0      0     0 ?        S    Sep28   0:00 [ksoftirqd/47]
root       196  0.0  0.0      0     0 ?        S    Sep28   0:20 [watchdog/47]
root       197  0.0  0.0      0     0 ?        S<   Sep28   0:00 [cpuset]
root       198  0.0  0.0      0     0 ?        S<   Sep28   0:00 [khelper]
root       199  0.0  0.0      0     0 ?        S    Sep28   0:00 [kdevtmpfs]
root       200  0.0  0.0      0     0 ?        S<   Sep28   0:00 [netns]
root       202  0.0  0.0      0     0 ?        S    Sep28   0:05 [sync_supers]
root       203  0.0  0.0      0     0 ?        S    Sep28   0:00 [bdi-default]
root       204  0.0  0.0      0     0 ?        S<   Sep28   0:00 [kintegrityd]
root       205  0.0  0.0      0     0 ?        S<   Sep28   0:00 [kblockd]
root       206  0.0  0.0      0     0 ?        S<   Sep28   0:00 [ata_sff]
root       207  0.0  0.0      0     0 ?        S    Sep28   0:00 [khubd]
root       208  0.0  0.0      0     0 ?        S<   Sep28   0:00 [md]
root       257  0.1  0.0      0     0 ?        S    Sep28   1:25 [kworker/11:1]
root       259  0.0  0.0      0     0 ?        S    Sep28   0:00 [khungtaskd]
root       260  0.0  0.0      0     0 ?        S    Sep28   0:00 [kswapd0]
root       261  0.0  0.0      0     0 ?        S    Sep28   0:00 [kswapd1]
root       262  0.0  0.0      0     0 ?        S    Sep28   0:00 [kswapd2]
root       263  0.0  0.0      0     0 ?        S    Sep28   0:00 [kswapd3]
root       264  0.0  0.0      0     0 ?        S    Sep28   0:00 [kswapd4]
root       265  0.0  0.0      0     0 ?        S    Sep28   0:00 [kswapd5]
root       266  0.0  0.0      0     0 ?        S    Sep28   0:00 [kswapd6]
root       267  0.0  0.0      0     0 ?        S    Sep28   0:00 [kswapd7]
root       268  0.0  0.0      0     0 ?        SN   Sep28   0:00 [ksmd]
root       269  0.0  0.0      0     0 ?        SN   Sep28   0:00 [khugepaged]
root       270  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/13:1]
root       271  0.0  0.0      0     0 ?        S    Sep28   0:49 [kworker/3:1]
root       272  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/19:1]
root       273  0.0  0.0      0     0 ?        S    Sep28   0:49 [kworker/16:1]
root       274  0.0  0.0      0     0 ?        S    Sep28   0:00 [fsnotify_mark]
root       275  0.0  0.0      0     0 ?        S    Sep28   0:00 [ecryptfs-kthrea]
root       276  0.0  0.0      0     0 ?        S<   Sep28   0:00 [crypto]
root       284  0.0  0.0      0     0 ?        S<   Sep28   0:00 [kthrotld]
root       285  0.0  0.0      0     0 ?        S    Sep28   0:59 [kworker/21:1]
root       286  0.0  0.0      0     0 ?        S    Sep28   0:56 [kworker/4:1]
root       287  0.0  0.0      0     0 ?        S    Sep28   0:00 [scsi_eh_0]
root       288  0.0  0.0      0     0 ?        S    Sep28   0:00 [scsi_eh_1]
root       289  0.0  0.0      0     0 ?        S    Sep28   0:00 [scsi_eh_2]
root       290  0.0  0.0      0     0 ?        S    Sep28   0:00 [scsi_eh_3]
root       294  0.0  0.0      0     0 ?        S    Sep28   0:58 [kworker/14:1]
root       295  0.0  0.0      0     0 ?        S    Sep28   1:00 [kworker/17:1]
root       297  0.0  0.0      0     0 ?        S    Sep28   0:58 [kworker/9:1]
root       298  0.1  0.0      0     0 ?        S    Sep28   1:07 [kworker/5:1]
root       299  0.1  0.0      0     0 ?        S    Sep28   1:07 [kworker/6:1]
root       303  0.0  0.0      0     0 ?        S    Sep28   1:01 [kworker/36:1]
root       304  0.0  0.0      0     0 ?        S    Sep28   0:58 [kworker/15:1]
root       315  0.0  0.0      0     0 ?        S    Sep28   0:59 [kworker/40:1]
root       316  0.0  0.0      0     0 ?        S    Sep28   1:01 [kworker/37:1]
root       318  0.0  0.0      0     0 ?        S    Sep28   1:01 [kworker/18:1]
root       320  0.0  0.0      0     0 ?        S    Sep28   1:02 [kworker/38:1]
root       323  0.0  0.0      0     0 ?        S    Sep28   0:00 [scsi_eh_4]
root       325  0.0  0.0      0     0 ?        S    Sep28   1:01 [usb-storage]
root       327  0.0  0.0      0     0 ?        S    Sep28   0:58 [kworker/41:1]
root       332  0.0  0.0      0     0 ?        S    Sep28   0:58 [kworker/42:1]
root       333  0.0  0.0      0     0 ?        S    Sep28   0:57 [kworker/8:1]
root       334  0.0  0.0      0     0 ?        S<   Sep28   0:00 [devfreq_wq]
root       338  0.0  0.0      0     0 ?        S    Sep28   1:02 [kworker/39:1]
root       341  0.0  0.0      0     0 ?        S    Sep28   0:57 [kworker/12:1]
root       342  0.0  0.0      0     0 ?        S    Sep28   0:59 [kworker/43:1]
root       358  0.0  0.0      0     0 ?        S    Sep28   0:57 [kworker/24:1]
root       384  0.1  0.0      0     0 ?        S    Sep28   2:11 [kworker/20:1]
root       386  0.0  0.0      0     0 ?        S    Sep28   1:03 [kworker/44:1]
root       387  0.0  0.0      0     0 ?        S    Sep28   0:53 [kworker/23:1]
root       389  0.0  0.0      0     0 ?        S    Sep28   1:05 [kworker/22:1]
root       390  0.0  0.0      0     0 ?        S    Sep28   1:01 [kworker/47:1]
root       404  0.0  0.0      0     0 ?        S    Sep28   0:58 [kworker/28:1]
root       405  0.0  0.0      0     0 ?        S    Sep28   1:01 [kworker/30:1]
root       406  0.0  0.0      0     0 ?        S    Sep28   0:59 [kworker/46:1]
root       414  0.0  0.0      0     0 ?        S    Sep28   1:00 [kworker/45:1]
root       416  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/2:1]
root       423  0.0  0.0      0     0 ?        S    Sep28   0:55 [kworker/25:1]
root       429  0.0  0.0      0     0 ?        S    Sep28   0:59 [kworker/7:1]
root       502  0.0  0.0      0     0 ?        S    Sep28   0:00 [scsi_eh_5]
root       503  0.0  0.0      0     0 ?        S<   Sep28   0:00 [fw_event0]
root       548  0.0  0.0      0     0 ?        S    Sep28   1:00 [kworker/31:1]
root       558  0.0  0.0      0     0 ?        S    Sep28   1:00 [kworker/32:1]
root       566  0.0  0.0      0     0 ?        S    Sep28   1:02 [kworker/33:1]
root       567  0.0  0.0      0     0 ?        S    Sep28   0:59 [kworker/10:1]
root       577  0.0  0.0      0     0 ?        S    Sep28   0:57 [kworker/34:1]
root       578  0.0  0.0      0     0 ?        S    Sep28   1:00 [kworker/29:1]
root       579  0.0  0.0      0     0 ?        S    Sep28   1:04 [kworker/35:1]
root       582  0.0  0.0      0     0 ?        S<   Sep28   0:00 [poll_0_status]
root       597  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/9:2]
root       598  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/1:2]
root       600  0.0  0.0      0     0 ?        S<   Sep28   0:00 [kdmflush]
root       612  0.0  0.0      0     0 ?        S<   Sep28   0:00 [kdmflush]
root       621  0.0  0.0      0     0 ?        S    Sep28   0:02 [jbd2/dm-0-8]
root       622  0.0  0.0      0     0 ?        S<   Sep28   0:00 [ext4-dio-unwrit]
root       748  0.0  0.0  17224   636 ?        S    Sep28   0:00 upstart-udev-bridge --daemon
root       750  0.0  0.0  21920  1768 ?        Ss   Sep28   0:01 /sbin/udevd --daemon
root       963  0.0  0.0      0     0 ?        S<   Sep28   0:00 [edac-poller]
root      1047  0.0  0.0      0     0 ?        S<   Sep28   0:00 [kpsmoused]
102       1163  0.0  0.0  24388  1612 ?        Ss   Sep28   0:01 dbus-daemon --system --fork --activation=upstart
syslog    1189  0.0  0.0 249464  1560 ?        Sl   Sep28   0:24 rsyslogd -c5
root      1193  0.0  0.0  21180  1716 ?        Ss   Sep28   0:00 /usr/sbin/bluetoothd
avahi     1219  0.0  0.0  32300  1688 ?        S    Sep28   0:22 avahi-daemon: running [trident3.local]
avahi     1225  0.0  0.0  32172   472 ?        S    Sep28   0:00 avahi-daemon: chroot helper
root      1232  0.0  0.0 104088  3688 ?        Ss   Sep28   0:00 /usr/sbin/cupsd -F
root      1235  0.0  0.0      0     0 ?        S<   Sep28   0:00 [krfcommd]
root      1249  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/42:2]
root      1254  0.0  0.0      0     0 ?        S    Sep28   0:00 [kworker/26:2]
root      1362  0.0  0.0  15180   396 ?        S    Sep28   0:00 upstart-socket-bridge --daemon
root      1548  0.0  0.0      0     0 ?        S<   Sep28   0:00 [iscsi_eh]
root      1549  0.0  0.0  21908  1300 ?        S    Sep28   0:00 /sbin/udevd --daemon
root      1550  0.0  0.0  21684  1012 ?        S    Sep28   0:00 /sbin/udevd --daemon
root      1557  0.0  0.0      0     0 ?        S<   Sep28   0:00 [ib_addr]
root      1562  0.0  0.0      0     0 ?        S<   Sep28   0:00 [ib_mcast]
root      1564  0.0  0.0      0     0 ?        S<   Sep28   0:00 [iw_cm_wq]
root      1565  0.0  0.0      0     0 ?        S<   Sep28   0:00 [ib_cm]
root      1567  0.0  0.0      0     0 ?        S<   Sep28   0:00 [rdma_cm]
root      1574  0.0  0.0   4496   492 ?        Ss   Sep28   0:16 /sbin/iscsid
root      1576  0.0  0.0   4988  2940 ?        S<Ls Sep28   0:53 /sbin/iscsid
root      1595  0.0  0.0  49948  2884 ?        Ss   Sep28   0:02 /usr/sbin/sshd -D
root      1617  0.0  0.0  79036  3184 ?        Ss   Sep28   0:00 /usr/sbin/modem-manager
root      1627  0.0  0.0 158740  6012 ?        Ssl  Sep28   0:00 NetworkManager
root      1639  0.0  0.0 195460  4084 ?        Sl   Sep28   0:01 /usr/lib/policykit-1/polkitd --no-debug
root      1724  0.0  0.0  15776   972 tty4     Ss+  Sep28   0:00 /sbin/getty -8 38400 tty4
root      1733  0.0  0.0  15776   972 tty5     Ss+  Sep28   0:00 /sbin/getty -8 38400 tty5
root      1742  0.0  0.0  15776   976 tty2     Ss+  Sep28   0:00 /sbin/getty -8 38400 tty2
root      1743  0.0  0.0  15776   972 tty3     Ss+  Sep28   0:00 /sbin/getty -8 38400 tty3
root      1745  0.0  0.0  15776   972 tty6     Ss+  Sep28   0:00 /sbin/getty -8 38400 tty6
memcache  1764  0.0  0.0 323212  1188 ?        Sl   Sep28   0:15 /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1
root      1765  0.0  0.0   4448   804 ?        Ss   Sep28   0:00 acpid -c /etc/acpi/events -s /var/run/acpid.socket
root      1768  0.0  0.0  19104  1036 ?        Ss   Sep28   0:01 cron
daemon    1769  0.0  0.0  16900   376 ?        Ss   Sep28   0:00 atd
root      1770  0.0  0.0  13080   584 ?        Ss   Sep28   0:40 tgtd
root      1771  0.0  0.0 270656  3544 ?        Ssl  Sep28   0:00 lightdm
root      1786  0.0  0.0  13080   404 ?        S    Sep28   0:16 tgtd
whoopsie  1790  0.0  0.0 185488  3824 ?        Ssl  Sep28   0:14 whoopsie
root      1806  0.0  0.0 264716  5964 ?        Sl   Sep28   0:04 /usr/sbin/libvirtd -d
root      1820  0.3  0.0  15972   780 ?        Ss   Sep28   3:59 /usr/sbin/irqbalance
root      1824  0.5  0.0 204248 21612 tty7     Ssl+ Sep28   6:10 /usr/bin/X :0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch -background none
rabbitmq  1833  0.0  0.0   7400   320 ?        S    Sep28   0:03 /usr/lib/erlang/erts-5.8.5/bin/epmd -daemon
rabbitmq  1963  0.4  0.0 2510156 30600 ?       Sl   Sep28   4:43 /usr/lib/erlang/erts-5.8.5/bin/beam.smp -W w -K true -A30 -P 1048576 -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -noshell -noinput -sname rabbit@trident3 -boot /var/lib/rabbitmq/mnesia/rabbit@trident3-plugins-expand/rabbit -kernel inet_default_connect_options [{nodelay,true}] -sasl errlog_type error -sasl sasl_error_logger false -rabbit error_logger {file,"/var/log/rabbitmq/rabbit@trident3.log"} -rabbit sasl_error_logger {file,"/var/log/rabbitmq/rabbit@trident3-sasl.log"} -os_mon start_cpu_sup true -os_mon start_disksup false -os_mon start_memsup false -mnesia dir "/var/lib/rabbitmq/mnesia/rabbit@trident3"
106       2005  0.0  0.0  25964   980 ?        S    Sep28   0:06 /usr/sbin/dnsmasq -u libvirt-dnsmasq --strict-order --bind-interfaces --pid-file=/var/run/libvirt/network/default.pid --conf-file= --except-interface lo --listen-address 192.168.122.1 --dhcp-range 192.168.122.2,192.168.122.254 --dhcp-leasefile=/var/lib/libvirt/dnsmasq/default.leases --dhcp-lease-max=253 --dhcp-no-override
root      2017  0.0  0.0 156764  3528 ?        Sl   Sep28   0:00 lightdm --session-child 16 19
root      2020  0.0  0.0 121524  3712 ?        Sl   Sep28   0:05 /usr/lib/accountsservice/accounts-daemon
root      2141  0.0  0.0 4254288 4040 ?        Sl   Sep28   0:03 /usr/sbin/console-kit-daemon --no-daemon
lightdm   2218  0.0  0.0   4392   612 ?        Ss   Sep28   0:00 /bin/sh /usr/lib/lightdm/lightdm-greeter-session /usr/sbin/lightdm-gtk-greeter
